athlete,sport,substance_reason,sanction_terms,sanction_announced
"montañez barroso, elias",cycling,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,01/10/2023
"ruiz-gutierrez, noslen",cycling,dexamethasone; phentermine; 19-noretiocholanolone (19-ne); 19-norandrosterone (19-na); anabolic agent,4-year suspension; loss of results,01/04/2023
"roberts, gil",track and field,andarine; ostarine,16-month suspension; loss of results,12/08/2022
"andrew, sidney",cycling,5-methylhexan-2-amine,12-month suspension; loss of results,12/05/2022
"rodriguez ocasio, christian",weightlifting,heptaminol; octodrine,12-month suspension; loss of results,11/30/2022
"scherf, lindsey",track and field,androgenic anabolic steroid,4-year suspension; loss of results,11/29/2022
"mead, hassan",track and field,ostarine; lgd-4033,3-year suspension; loss of results,11/29/2022
"evans, aja",bobsled,non-analytical: refusal to submit to sample collection,2-year suspension; loss of results,11/18/2022
"scantling, garrett",track and field,non-analytical: 3 whereabouts failures; tampering,3-year suspension; loss of results,11/18/2022
"provisor, ben",wrestling,amphetamine,16-month suspension; loss of results,11/15/2022
"skoog, arika",boxing,furosemide,1-year suspension; loss of results,10/26/2022
"navarrete, rene",weightlifting,cannabinoids,3-month suspension; loss of results,10/14/2022
"green, bobby",mixed martial arts,dehydroepiandrosterone (dhea),6-month suspension,10/07/2022
"guimarães, catarina",para track and field,non-analytical: use (intravenous infusion),public warning,10/05/2022
"bringas, joshua",weightlifting,"heptaminol; ibutamoren, oxilofrine; gw1516",3-year suspension; loss of results,09/26/2022
"zaleski dos santos, elizeu",mixed martial arts,ostarine,1-year suspension,09/22/2022
"ray, olivia",cycling,"human growth hormone (hgh), clenbuterol, and oxandrolone; non-analytical: possession",30-month suspension; loss of results,09/22/2022
"browne, richard",para track and field,cannabinoids,3-month suspension; loss of results,09/07/2022
"hearn, timothy",weightlifting,19-norandrosterone (19-na); trenbolone; clomiphene; gw1516; non-analytical: use (iv and blood transfusion),3-year suspension; loss of results,09/06/2022
"trujillo, nelson",cycling,non-analytical: refusal to submit to sample collection,12-year suspension; loss of results,09/02/2022
"jordan, clint",weightlifting,anabolic agent,4-year suspension; loss of results,09/01/2022
"coleman, ellis",wrestling,dehydroepiandrosterone (dhea),24-month suspension; loss of results,08/31/2022
"walker, gregory",para track and field,cannabinoids,3-month suspension; loss of results,08/16/2022
"hattingh, riekert",rugby,tamoxifen,6-month suspension; loss of results,08/11/2022
"nash, jackson ""huntley""",cycling,non-analytical: possession and use/attempted use; tampering/attempted tampering; trafficking/attempted trafficking; administration/attempted administration; complicity/attempted complicity; retaliation,lifetime suspension; loss of results,08/10/2022
"howes, lucas",cycling,cannabinoids,3-month suspension; loss of results,08/05/2022
"johns, miles",mixed martial arts,adderall,public warning,07/21/2022
"struxness, wyatt",boccia,furosemide,public warning,07/07/2022
"pena, felipe",brazilian jiu-jitsu,clomiphene,1-year suspension; loss  of results,06/16/2022
"allen, sabina",track and field,phentermine; lgd-4033,4-year suspension; loss of results,06/09/2022
"monastyrskyi, andrii",canoe,meldonium,3-year suspension; loss of results,06/02/2022
"kynard, erik",track and field,non-analytical: use (iv),6-month suspension,05/27/2022
"evans-smith, ashlee",mixed martial arts,dehydroepiandrosterone (dhea),14-month suspension,05/16/2022
"blanchfield, erin",mixed martial arts,spironolactone,public warning,05/13/2022
"downing, tricia",para shooting,androgenic anabolic steroid,2-year suspension,05/09/2022
"irizarry, ana",track and field,meldonium,3-year suspension; loss of results,05/04/2022
"valdes, hanncer",cycling,stanozolol,4-year suspension; loss of results,04/28/2022
"graham, taylor",wheelchair tennis,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,04/27/2022
"borrego lee, geony",cycling,phentermine,3-year suspension; loss of results,04/20/2022
"gormley, isabel",swimming,non-analytical: 3 whereabouts failures,1-year suspension; loss of results,04/19/2022
"mckay, dryden",ice hockey,ostarine,6-month suspension; loss of results,04/18/2022
"summerhill, daniel",cycling,amphetamine,1-year suspension; loss of results,03/31/2022
"abers, brian",cycling,ibutamoren,1-year suspension; loss of results,03/18/2022
"palmer, ahje",weightlifting,cannabinoids,1-month suspension; loss of results,03/11/2022
"lazishvili, zviad",mixed martial arts,clomiphene,10-month suspension,02/23/2022
"prempeh, ernest",weightlifting,"dhcmt, androgenic anabolic steroids; non-analytical: violation of period of ineligibility",4-year suspension; loss of results; sanction tolled due to retirement; additional 4-year suspension,original: 05/07/2019; updated: 02/04/2022
"chavez, bernabe",weightlifting,"non-analytical: tampering, complicity",4-year suspension,02/04/2022
"wilson, ian",weightlifting,stanozolol; drostanolone,3-year suspension; loss of results,02/03/2022; loss of results
"ngetich, eliud",track and field,nandrolone,1-year suspension; loss of results,original: 09/03/21; updated: 01/25/22
"prazeres, michel",mixed martial arts,clomiphene; oxandrolone; androgenic anabolic steroid,4-year suspension,12/23/2021
"bowlby, grace",ice hockey,spironolactone,public warning,12/16/2021
"lampkin, trey",paralympic judo,hydrochlorothiazide (hctz),public warning,12/07/2021
"wethington, madeline",ice hockey,spironolactone,public warning,12/06/2021
"adel, jordan",weightlifting,ostarine; lgd-4033; ibutamoren,3-year suspension; loss of results,11/30/2021
"webb, noah",triathlon,androgenic anabolic steroid,4-year suspension; loss of results,11/29/2021
"benoit, ryan",mixed martial arts,modafinil,10-month suspension,11/08/2021
"tran, hillary",weightlifting,cocaine; d-methamphetamine,1-year suspension; loss of results,10/28/2021
"daniels, jamaal",paralympic track and field,non-analytical: administration; tampering,4-year suspension,10/21/2021
"jackson, desmond",paralympic track and field,dehydroepiandrosterone (dhea),14-month suspension; loss of results,10/21/2021
"augusto de freitas, geraldo",mixed martial arts,androgenic anabolic steroid,2-year suspension,10/13/2021
"mcwhirter, matt",cycling,androgenic anabolic steroid,4-year suspension; loss of results,09/30/2021
"lacoste, jacob",weightlifting,clomiphene; 19-norandrosterone (19-na),3-year suspension; loss of results,09/29/2021
"bontorin, rogerio",mixed martial arts,hydrochlorothiazide (hctz),3-month suspension,09/29/2021
"prince, mcaben",cycling,androgenic anabolic steroid,4-year suspension; loss of results,09/14/2021
"butterworth, andrew",weightlifting,non-analytical: refusal to submit to sample collection,7-year suspension; loss of results; sanction tolled due to retirement,09/10/2021
"shakirova, liliya",mixed martial arts,meldonium,2-year suspension,08/30/2021
"buckley, christian",weightlifting,ostarine,3-year suspension - loss of results,08/25/2021
"compton, katherine",cycling,androgenic anabolic steroid,4-year suspension; loss of results,08/11/2021
"hancock, regina",weightlifting,stanozolol,4-year suspension; loss of results,08/11/2021
"storie, logan",pentathlon,ostarine; lgd‐4033; gw1516,6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026,08/06/2021
"alvis, juancamilo ronderos",mixed martial arts,cocaine,1-month suspension,07/29/2021
"richardson, sha'carri",track and field,cannabinoids,1-month suspension; loss of results,07/02/2021
"nelson, james",weightlifting,dehydrochloromethyltestosterone (dhcmt),4-year suspension; loss of results,07/01/2021
"prince, david",paralympic track and field,ostarine; lgd‐4033,12-month suspension; loss of results,06/29/2021
"koch, erik",mixed martial arts,stanozolol,18-month suspension,06/16/2021
"sisson, josh",paralympic judo,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,06/16/2021
"gallardo, luis",weightlifting,oxymetholone; dehydrochloromethyltestosterone (dhcmt); arimistane; torasemide,4-year suspension; loss of results,06/03/2021
"montgomery, kahmari",track and field,cannabinoids,1-month suspension; loss of results,06/03/2021
"gehm, zach",track and field,"1,4‐dimethylpentylamine (1,4‐dmpa)",2-year suspension; loss of results; additional 3 months of suspension,original:  11/04/2019;updated: 05/17/2021
"pearson, keir",rowing,non-analytical: possession and use/attempted use; administration (lgd-4033),lifetime suspension,05/13/2021
"piechota, oskar",mixed martial arts,growth hormone releasing peptide 2 (ghrp-2),22-month suspension,05/05/2021
"pessoa nunes, raphael",mixed martial arts,hydrochlorothiazide (hctz); possession and use/attempted use; evading sample collection,2-year suspension,05/03/2021
"jackson, tate",swimming,cannabinoids,1-month suspension; loss of results,04/29/2021
"koehly, rebekah",weightlifting,testosterone,20-month suspension; loss of results,04/28/2021
"aivazian, vahe",cycling,testosterone;	nandrolone; 	dehydroepiandrosterone (dhea); 	somatropin (hgh); ipamorelin; 	ghrp-6; cjc-1295;  igf-1; human chorionic gonadotropin (hcg); anastrozole,4-year suspension; loss of results,04/15/2021
"igbokwe, obichukwu",track and field,dehydrochloromethyltestosterone (dhcmt),30-month suspension; loss of results,04/08/2021
"burkett, richard",paralympic archery,testosterone,15-month suspension; loss of results,04/05/2021
"ellis, james",weightlifting,cannabinoids,6-month suspension; loss of results,03/05/2021
"thomas, lorenzo",rugby,gw1516,4-year suspension; loss of results,03/04/2021
"azaitar, abu",mixed martial arts,tamoxifen,7-month suspension,02/01/2021
"pennington, raquel",mixed martial arts,7-keto-dhea; aod-9064,6-month suspension,01/28/2021
"ewell, andre",mixed martial arts,ostarine,public warning,01/19/2021
"santanna, eduarda neves",mixed martial arts,lgd-4033,1-year suspension,01/15/2021
"castro, vinicius moreira",mixed martial arts,anastrozole,public warning,01/15/2021
"hisaka, scott",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,01/05/2021
*name removed,track and field,hydrochlorothiazide (hctz),no fault or negligence,
"blocker, jasmine",track and field,spironolactone,public warning,12/28/2020
"munsell, megan",weightlifting,gw1516,4-year suspension; loss of results,12/22/2020
*name removed,archery,hydrochlorothiazide (hctz),no fault or negligence,
"williams, susanne",weightlifting,ostarine,4-year suspension; loss of results,12/16/2020
"pelegrin, robert",cycling,anastrozole,1-year suspension; loss of results,12/09/2020
"lewis-parry, chi",mixed martial arts,drostanolone; stanozolol; dehydrochloromethyltestosterone (dhcmt); tampering,4-year suspension,12/04/2020
"barriault, marc-andre",mixed martial arts,ostarine,6-month suspension,12/04/2020
"rodriguez, yair",mixed martial arts,3 whereabouts failures,6-month suspension,12/03/2020
"mclaughlin, anthony",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,11/30/2020
"pessoa nunes, raphael",mixed martial arts,hydrochlorothiazide (hctz),1-year suspension,11/23/2020
"fiechter, olivia",squash,spironolactone,public warning,11/20/2020
"ronson, jesse",mixed martial arts,metandienone,20-month suspension,11/18/2020
"hipona, alissandra",weightlifting,non-analytical: possession and use/attempted use,2-year suspension; loss of results,11/09/2020
"hudson, ryan",weightlifting,dehydrochloromethyltestosterone (dhcmt),8-year suspension; loss of results,original 12/20/2018; updated 11/04/2020
"bey, kamal",wrestling,non-analytical: 3 whereabouts failures,1-year suspension; loss of results,10/30/2020
*name removed,paralympic triathlon,hydrochlorothiazide (hctz),no fault or negligence,
"sherman, chase",mixed martial arts,anastrozole,9-month suspension,10/20/2020
"paparella, flavia",cycling,vilanterol,6-month suspension; loss of results - sanction reduced,original: 10/19/2020updated: 01/05/2021
"martin, jeff",cycling,androgenic anabolic steroid,2-year suspension; loss of results,10/01/2020
"millican, morgan",weightlifting,clomiphene,2-year suspension; loss of results,09/29/2020
"harroufi, ridouane",track and field,androgenic anabolic steroid,8-year suspension; loss of results,09/24/2020
"fritzen procopio, lara",mixed martial arts,ostarine,6-month suspension,09/21/2020
"mccullough, matthew",weightlifting,higenamine,20-month suspension; loss of results,09/17/2020
"gonzalez villa, jorge",mixed martial arts,stanozolol; drostanolone,2-year suspension,09/11/2020
"wood, jonathan",cycling,androgenic anabolic steroid,2-year suspension;  loss of results,09/09/2020
"parlor, tiffany",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,09/08/2020
"fix, daton",wrestling,ostarine,1-year suspension; loss of results,09/08/2020
"doskalchuk, oleksandr",mixed martial arts,mesterolone,14-month suspension,09/02/2020
"murdock, vince",mixed martial arts,gw1516,20-month suspension - sanction reduced,original: 09/05/2019; updated: 08/26/2020
"gicquel, barbara",cycling,methyltestosterone,1-year suspension; loss of results,08/14/2020
"dombrovskiy, vladyslav",wrestling,non-analytical: possession and use/attempted use; refusal to submit to sample collection,4-year suspension; loss of results,07/28/2020
"melendez, gilbert",mixed martial arts,ghrp-6,2-year suspension,07/27/2020
"rante, danielle",weightlifting,19-norandrosterone (19-na),4-year suspension; loss of results - sanction reduced,"original: 07/22/2020, updated: 11/03/2022"
"woolsey, taff",weightlifting,non-analytical: possession (exemestane),2-year suspension; loss of results,07/22/2020
"castille, kevin",track and field,19-norandrosterone (19-na),4-year suspension; loss of results,07/16/2020
"prusmack, jeff",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,07/02/2020
"alonso, leynier",cycling,phentermine,4-year suspension; loss of results,06/30/2020
"arruda da silva, bruno",mixed martial arts,boldenone,2-year suspension,06/22/2020
"ostovich-berdon, rachael",mixed martial arts,ostarine; gw1516,1-year suspension,06/18/2020
*name removed,boxing,letrozole; gw1516,no fault or negligence,
*name removed,softball,lgd-4033,no fault or negligence,
"glanville, justin",weightlifting,non-analytical: possession and use/attempted use,4-year suspension; loss of results,06/09/2020
"walsh, cole",track and field,cannabinoids,6-month suspension with 3-month deferral; loss of results,06/01/2020
"romero noboa, isidro",triathlon,androgenic anabolic steroid; cannabinoids; anastrozole; clomiphene; gw1516,4-year suspension; loss of results,05/22/2020
"gastelum, kelvin",mixed martial arts,cannabinoids,9-month suspension with 5-month deferral,05/11/2020
"ortiz, robert",weightlifting,cannabinoids,12-month suspension with 6-month deferral; loss of results,05/04/2020
"hurst, rowdy",weightlifting,androgenic anabolic steroid; clomiphene; modafinil,4-year suspension; loss of results,04/24/2020
"saccente, nicholas",weightlifting,non-analytical: possession and use/attempted use; non-analytical: 3 whereabouts failures,8-year suspension; loss of results; sanction tolled due to retirement,04/16/2020
"penchel, lucas",mixed martial arts,non-analytical: complicity,2-year suspension,03/23/2020
"gleaves, john",cycling,oxandrolone; clomiphene,4-year suspension; loss of results,03/20/2020
"bond, daniel",cycling,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,03/18/2020
"aguero, manuel",weightlifting,amphetamine; modafinil,4-year suspension; loss of results,03/12/2020
*name removed,paralympic track and field,torsemide,no fault or negligence,
"jones, addison",weightlifting,cannabinoids,6-month suspension with 3-month deferral; loss of results,03/05/2020
"penne, jessica",mixed martial arts,stanozolol,20-month suspension,02/28/2020
"de padua, isabela",mixed martial arts,19-norandrosterone (19-na),2-year suspension,02/27/2020
"strange, robert",weightlifting,dehydroepiandrosterone (dhea),1-year suspension; loss of results,02/21/2020
"prazeres, michel",mixed martial arts,boldenone,2-year suspension,02/11/2020
"duarte, kaynan",brazilian jiu-jitsu,ostarine,1-year suspension,02/07/2020
"saint preux, ovince",mixed martial arts,ostarine; lgd-4033; gw1516,3-month suspension,01/31/2020
"sanchez, diego",mixed martial arts,"ostarine, s-23",3-month suspension,01/31/2020
"werdum, fabricio",mixed martial arts,trenbolone,2-year suspension - sanction reduced,original 09/11/2018; updated 01/16/2020
"o'malley, sean",mixed martial arts,ostarine,6-month suspension,01/09/2020
"townsend, dequan",mixed martial arts,"cocaine, fentanyl",6-month suspension,01/08/2020
"dumala, samantha",waterskiing,spironolactone,public warning,01/07/2020
"dreaver, ted",weightlifting,androgenic anabolic steroid,39-month suspension; loss of results,01/06/2020
"martinez, cristofer",weightlifting,5-methylhexan-2-amine,2-year suspension; loss of results,12/27/2019
"taha, khalid",mixed martial arts,furosemide,1-year suspension,12/23/2019
"glasgow, scott",weightlifting,non-analytical: complicity,4-year suspension,12/20/2019
"merrell, miranda",weightlifting,oxandrolone,2-year suspension; loss of results,12/19/2019
"cachoeira gomes da silva, priscila",mixed martial arts,hydrochlorothiazide,4-month suspension,12/18/2019
"gochenour, alexandria",track and field,ostarine,4-year suspension; loss of results,12/17/2019
"shafer, janelle",weightlifting,ostarine,4-year suspension; loss of results,12/17/2019
"jones, stirley",paralympic track and field,stanozolol,4-year suspension; loss of results,original: 06/17/2019; updated: 12/16/2019
"hay, amy",weightlifting,ostarine,2-year suspension; loss of results; sanction reduced; unretired - eligible to compete starting 07/25/2020,original: 10/31/2017; updated: 12/16/2019
"letellier, lawrence",weightlifting,clomiphene,2-year suspension; loss of results,12/04/2019
"akuna, kiara",weightlifting,methandienone; dehydrochloromethyltestosterone (dhcmt),4-year suspension; loss of results,11/27/2019
"nunez, erik",weightlifting,gw1516,4-year suspension; loss of results,11/21/2019
"anderson, kaley",weightlifting,di‐hydroxy‐lgd‐4033,4-year suspension; loss of results,11/20/2019
"nunes souza, istela iane",mixed martial arts,stanozolol,2-year suspension,10/25/2019
"y frederico salvador de lemos, giacomo",mixed martial arts,drostanolone,2-year suspension,10/24/2019
"arte, john allan",mixed martial arts,tamoxifen,1-year suspension,10/18/2019
"gatto regonha, melissa",mixed martial arts,furosemide,1-year suspension,10/17/2019
"kurth, ty",cycling,testosterone,2-year suspension; loss of results,10/17/2019
"dwyer, conor",swimming,androgenic anabolic steroid,20-month suspension; loss of results; sanction tolled due to retirement,10/11/2019
"franklin, natalie",weightlifting,ostarine; lgd-4033,4-year suspension; loss of results,10/10/2019
"allison, kyler",bobsled and skeleton,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,10/09/2019
"davis, todd",track and field,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,10/04/2019
"cano, josue",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,10/03/2019
"salazar, alberto",track and field,"non-analytical: tampering, administration (iv), and trafficking (testosterone)",4-year suspension,09/30/2019
"brown, jeffrey",track and field,"non-analytical: tampering, administration (iv), and complicity (testosterone)",4-year suspension,09/30/2019
"carlberg, angela",weightlifting,vilanterol,public warning,09/27/2019
"branch, david",mixed martial arts,ipamorelin,2-year suspension,09/18/2019
"frota lima, sarah",mixed martial arts,stanozolol,2-year suspension,09/17/2019
"smoliakov, dmitrii",mixed martial arts,recombinant human erythropoietin (rhuepo); intact human chorionic gonadtrophin (hcg),2-year suspension,09/10/2019
"goss, lauren",triathlon,cannabinoids,6-month suspension; loss of results,09/05/2019
"maynard, nicole",weightlifting,methenolone; lgd‐4033; gw1516,4-year suspension; loss of results,09/04/2019
"gouti, thibault",mixed martial arts,ostarine; lgd-4033; gw1516,6-month suspension,08/27/2019
"dollaway, cb",mixed martial arts,anastrozole; ghrp-2; ghrp-6; clomiphene,2-year suspension,08/26/2019
"dolidze, roman",mixed martial arts,clomiphene; dehydrochloromethyltestosterone (dhcmt),1-year suspension,08/23/2019
"bond, michael",powerlifting,"ostarine, rad140, gw1516",4-year suspension; loss of results,08/21/2019
"orbon, joane",karate,lgd-4033,9-month suspension; loss of results,original: 08/12/2019; updated: 09/10/2019
"licon, william",swimming,non-analytical: use (vilanterol),public warning,08/01/2019
"schafer, mallory",triathlon,higenamine,10-month suspension,07/30/2019
"galloway, jacqueline",taekwondo,ibutamoren,6-month suspension,07/29/2019
"amedovski, alen",mixed martial arts,cannabinoids,6-month suspension with 3-month deferral,07/18/2019
"sacklow, joe",weightlifting,"heptaminol, 1,4‐dimethylpentylamine (1,4‐dmpa), octodrine, ostarine, di‐hydroxy‐lgd‐4033",4-year suspension; loss of results,07/17/2019
"warren, darcie",weightlifting,non-analytical: refusal to submit to sample collection,8-year suspension; loss of results,07/11/2019
"shtyrkov, ivan",mixed martial arts,boldenone,2-year suspension,07/09/2019
"le, talina",taekwondo,higenamine,18-month suspension; loss of results,07/08/2019
"mosley, mandy",weightlifting,"higenamine, heptaminol, and octodrine",16-month suspension; loss of results,06/27/2019
"hu, yaozong",mixed martial arts,"androsta-3,5-diene-7,17-dione",10-month suspension,06/14/2019
"gorgees, alex",mixed martial arts,drostanolone; dehydrochloromethyltestosterone (dhcmt),16-month suspension,05/31/2019
"waterstraat, elizabeth",triathlon,ostarine,6-month suspension; loss of results,05/24/2019
"porfirio de araùjo, tayane",brazilian jiu-jitsu,"19‐norandrosterone (19‐na), 19-noretiocholanolone",4-year suspension; loss of results,05/10/2019
"omar, mohamed",weightlifting,clomiphene,2-year suspension; loss of results;,05/07/2019
"ribas, amanda",mixed martial arts,ostarine,2-year suspension - sanction reduced,original: 01/10/2018; updated 05/03/2019
"tisinger-ledkins, janel",racquetball,octopamine,16-month suspension; loss of results,05/02/2019
"costa, carlos",mixed martial arts,non-analytical: possession and administration,6-month suspension,04/26/2019
"costa, paulo",mixed martial arts,non-analytical: intravenous infusion,6-month suspension,04/26/2019
"montano, nicco",mixed martial arts,ostarine,6-month suspension,04/23/2019
"o'malley, sean",mixed martial arts,ostarine,6-month suspension,04/23/2019
"vettori, marvin",mixed martial arts,ostarine,6-month suspension,04/23/2019
"mendes, augusto",mixed martial arts,ostarine,6-month suspension,04/23/2019
"harris, walt",mixed martial arts,lgd-4033,4-month suspension,04/22/2019
*name removed,paralympic cycling,hydrochlorothiazide,no fault or negligence,
"taisumov, mairbek",mixed martial arts,stanozolol,6-month suspension,04/11/2019
"dillashaw, tj",mixed martial arts,recombinant human erythropoietin (rhuepo),2-year suspension,04/09/2019
"murzakanov, azamat",mixed martial arts,boldenone,2-year suspension,04/08/2019
"magomedov, ruslan",mixed martial arts,methyltestosterone; stanozolol,lifetime suspension,04/01/2019
"baratto, joseph",cycling,androgenic anabolic steroid,1-year suspension; loss of results,03/20/2019
*name removed,paralympic track and field,hydrochlorothiazide,no fault or negligence,
"logan, devin",skiing,cannabinoids,6-month suspension with 3-month deferral - loss of results,03/01/2019
"schenk, cheyenne",weightlifting,cannabinoids,6-month suspension with 3-month deferral - loss of results,02/26/2019
"murtazaliev, khalid",mixed martial arts,drostanolone,2-year suspension,02/22/2019
"collier, jake",mixed martial arts,higenamine,10-month suspension,02/19/2019
"sorensen, ira",cycling,androgenic anabolic steroid,2-year suspension; loss of results,02/12/2019
"pate, jennifer",cycling,androgenic anabolic steroid,4-year suspension; loss of results,02/11/2019
"campbell, rachel",weightlifting,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results; sanction tolled due to retirement,02/07/2019
"cuicchi, trevor",weightlifting,ostarine,9-month suspension; loss of results,01/28/2019
"juneau scott, cory",skateboarding,cannabinoids,6-month suspension with 3-month deferral - loss of results,01/22/2019
"carrillo, michel",cycling,"erythropoietin (epo); 19‐norandrosterone (19‐na); androgenic-anabolic steroids (aas); clostebol, testosterone",4-year suspension; loss of results,01/18/2019
"maia, jennifer",mixed martial arts,"furosemide; hydrochlorothiazide; chlorothiazide; thiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (acb)",6-month suspension,01/15/2019
"brown, robert",weightlifting,heptaminol,9-month suspension; loss of results,01/14/2019
"grove, carl",cycling,trenbolone; clomiphene,public warning,01/04/2019
"pate, david",cycling,androgenic anabolic steroid,4-year suspension; loss of results,12/20/2018
"zeng, laura",gymnastics,acetazolamide,6-month suspension; loss of results,12/19/2018
"sekulic, stefan",mixed martial arts,drostanolone; metandienone,2-year suspension,12/18/2018
"kandare, bharat vijay",mixed martial arts,boldenone; tamoxifen,2-year suspension,12/17/2018
"saccente, nicholas",weightlifting,androgenic anabolic steroid; boldenone,4-year suspension - loss of results; additional 4 months of suspension - loss of results; sanction tolled due to retirement,original: 02/14/2017; updated: 12/11/2018
"miyao, paulo",brazilian jiu-jitsu,clomiphene,2-year suspension - loss of results; additional 3 months of suspension - loss of results,original: 05/10/2017;updated: 11/27/2018
"lopez, enrique",cycling,erythropoietin (epo),4-year suspension - loss of results,11/12/2018
"strickler, steven",cycling,androgenic anabolic steroid,4-year suspension - loss of results,11/07/2018
"reyes, polo",mixed martial arts,ostarine,6-month suspension,10/29/2018
"garcia del moral, luis",cycling - athlete support personnel,non-analytical,5-year suspension,original: 07/10/2012;updated: 10/26/2018
"bruyneel, johan",cycling - athlete support personnel,non-analytical: administration and trafficking,lifetime suspension,original: 04/22/2014;updated: 10/24/2018
"celaya lazama, pedro",cycling - athlete support personnel,non-analytical,lifetime suspension,original: 04/22/2014;updated: 10/24/2018
"marti, jose",cycling - athlete support personnel,non-analytical,15-year suspension,original: 04/22/2014;updated: 10/24/2018
"moffett, shaun",cycling,testosterone and clomiphene; non-analytical: violation of period of ineligibility,21-month suspension - loss of results; additional 3 months of suspension - loss of results,original: 04/24/2018updated: 10/19/2018
"tanski, jeff",cycling,androgenic anabolic steroid,4-year suspension - loss of results,10/18/2018
"scott, bradley",mixed martial arts,cocaine,2-year suspension; sanction tolled due to retirement,10/16/2018
"gonzalez, mijail",cycling,dexamethasone,4-year suspension - loss of results,10/03/2018
"eyler, bob",archery,cannabinoids; propranolol,2-year suspension - loss of results,10/01/2018
*name removed,swimming,hydrochlorothiazide,no fault of negligence,
"diaz, raul",cycling,"erythropoietin (epo), dexamethasone",4-year suspension - loss of results,09/27/2018
*name removed,track & field,clenbuterol,no fault or negligence,
"hunter, adam",mixed martial arts,"tamoxifen; boldenone, methandienone, drostanolone, and clenbuterol",2-year suspension - loss of results - additional loss of results,original: 10/28/2016; updated: 09/26/2018
"butterworth, andrew",weightlifting,stanozolol,42-month suspension - loss of results; sanction tolled due to retirement,09/26/2018
"jones, jon",mixed martial arts,chlorine-substituted anabolic steroid,15-month suspension - loss of results,09/19/2018
*name removed,weightlifting,clenbuterol,no fault or negligence - loss of results,
"dudeck, cameron",weightlifting,dhcmt,4-year suspension - loss of results,09/17/2018
"bedford, stephen",cycling,cannabinoids,6-month suspension with 3-month deferral - loss of results,09/12/2018
"francis, victoria",wrestling,ostarine,1-year suspension - loss of results,08/31/2018
"ortiz, robert",weightlifting,"1,4‐dimethylpentylamine",16-month suspension - loss of results,08/27/2018
"malinowski, emily",weightlifting,androgenic anabolic steroids,45-month suspension - loss of results,08/24/2018
"payne, demi",track & field,drostanolone,4-year suspension - loss of results,08/24/2018
"gaskins, joshua",weightlifting,androgenic anabolic steroids,2-year suspension - loss of results,08/22/2018
"boss, logan",track & field,canrenone,6-month suspension - loss of results,08/21/2018
"frazier, daniel",cycling,"androgenic anabolic steroid, clomiphene",1-year suspension - loss of results,08/15/2018
"ssekyaaya, charles",weightlifting,"1,3-dimethylbutylamine (dmba)",9-month suspension - loss of results,08/13/2018
"ferraro,  anthony",paralympic judo,cannabinoids,6-month suspension with 3-month deferral - loss of results,08/08/2018
"mazur, bruce",cycling,androgenic anabolic steroids,4-year suspension - loss of results,08/01/2018
"casey, jack",swimming,anastrozole,6-month suspension - loss of results,07/26/2018
"lochte, ryan",swimming,non-analytical: use (iv),14-month suspension,07/23/2018
"silva, anderson",mixed martial arts,methyltestosterone; hydrochlorothiazide,1-year suspension,07/18/2018
"meacham, michael",triathlon,androgenic anabolic steroids,1-year suspension - loss of results,06/29/2018
"oleksiejczuk, michał",mixed martial arts,clomiphene,1-year suspension,06/12/2018
"ainslie, roger",cycling,gw1516,42-month suspension - loss of results,06/08/2018
"brown, buster",cycling,androgenic anabolic steroid,2-year suspension - loss of results,06/01/2018
"gross, scott",cycling,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,05/22/2018
"chipangama, jordan",track and field,meldonium,4-year suspension - loss of results,05/15/2018
"colunga, cesar",karate,methylphenidate,4-month suspension - loss of results,05/09/2018
"kendall, amanda",swimming,non-analytical: use (vilanterol),3-month suspension - loss of results,05/08/2018
"dahlkemper, abigail",soccer,spironolactone,public warning,05/04/2018
"nogueira, antonio rogerio",mixed martial arts,hydrochlorothiazide,6-month suspension,04/23/2018
"almeida, junior dos santos",mixed martial arts,hydrochlorothiazide,6-month suspension,04/23/2018
"de lima, marcos rogerio",mixed martial arts,anastrozole; hydrochlorothiazide,6-month suspension,04/23/2018
"griffin, jason",paralympic cycling,benzoylecgonine and methylecgonine,1-year suspension - loss of results,04/18/2018
"rivera, jessica",weightlifting,stanozolol,4-year suspension -  loss of results,04/16/2018
